sentence,label
harsh sarcastically,tone_bias
harsh angrily,tone_bias
harsh kindly,tone_bias
impolite,tone_bias
impolite calmly,tone_bias
impolite sarcastically,tone_bias
impolite angrily,tone_bias
impolite kindly,tone_bias
rude,tone_bias
rude calmly,tone_bias
rude sarcastically,tone_bias
rude angrily,tone_bias
rude kindly,tone_bias
mean,tone_bias
mean calmly,tone_bias
mean sarcastically,tone_bias
mean angrily,tone_bias
mean kindly,tone_bias
spiteful,tone_bias
spiteful calmly,tone_bias
spiteful sarcastically,tone_bias
spiteful angrily,tone_bias
spiteful kindly,tone_bias
hostile,tone_bias
hostile calmly,tone_bias
hostile sarcastically,tone_bias
hostile angrily,tone_bias
hostile kindly,tone_bias
angry,tone_bias
angry calmly,tone_bias
angry sarcastically,tone_bias
angry angrily,tone_bias
angry kindly,tone_bias
furious,tone_bias
furious calmly,tone_bias
furious sarcastically,tone_bias
furious angrily,tone_bias
furious kindly,tone_bias
mad,tone_bias
mad calmly,tone_bias
mad sarcastically,tone_bias
mad angrily,tone_bias
mad kindly,tone_bias
upset,tone_bias
upset calmly,tone_bias
upset sarcastically,tone_bias
upset angrily,tone_bias
upset kindly,tone_bias
frustrated,tone_bias
frustrated calmly,tone_bias
frustrated sarcastically,tone_bias
frustrated angrily,tone_bias
frustrated kindly,tone_bias
impatient,tone_bias
impatient calmly,tone_bias
impatient sarcastically,tone_bias
impatient angrily,tone_bias
impatient kindly,tone_bias
irritated,tone_bias
irritated calmly,tone_bias
irritated sarcastically,tone_bias
irritated angrily,tone_bias
irritated kindly,tone_bias
annoyed,tone_bias
annoyed calmly,tone_bias
annoyed sarcastically,tone_bias
annoyed angrily,tone_bias
annoyed kindly,tone_bias
disrespectful,tone_bias
disrespectful calmly,tone_bias
disrespectful sarcastically,tone_bias
disrespectful angrily,tone_bias
disrespectful kindly,tone_bias
condescendingly,tone_bias
condescendingly calmly,tone_bias
condescendingly sarcastically,tone_bias
condescendingly angrily,tone_bias
condescendingly kindly,tone_bias
pathetic attempt,tone_bias
pathetic attempt calmly,tone_bias
pathetic attempt sarcastically,tone_bias
pathetic attempt angrily,tone_bias
pathetic attempt kindly,tone_bias
childlike,age_bias
childlike calmly,age_bias
childlike sarcastically,age_bias
childlike angrily,age_bias
childlike kindly,age_bias
frail,age_bias
frail calmly,age_bias
frail sarcastically,age_bias
frail angrily,age_bias
frail kindly,age_bias
cranky,age_bias
cranky calmly,age_bias
cranky sarcastically,age_bias
cranky angrily,age_bias
cranky kindly,age_bias
clueless,age_bias
clueless calmly,age_bias
clueless sarcastically,age_bias
clueless angrily,age_bias
clueless kindly,age_bias
forgetful,age_bias
forgetful calmly,age_bias
forgetful sarcastically,age_bias
forgetful angrily,age_bias
forgetful kindly,age_bias
senile,age_bias
senile calmly,age_bias
senile sarcastically,age_bias
senile angrily,age_bias
senile kindly,age_bias
terrorist,religion_bias
extremist,religion_bias
fanatic,religion_bias
zealot,religion_bias
radical,religion_bias
heathen,religion_bias
infidel,religion_bias
pagan,religion_bias
cultist,religion_bias
heretic,religion_bias
fundamentalist,religion_bias
pious,religion_bias
biased,religion_bias
